"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
3319.78009529024,0.822558256262976,0.0833033409349433,9.87425290547905,5.3832601223844e-23,2.03184424244246e-20,"ENSG00000103502"
756.344724445296,-1.56947675042532,0.159593365111273,-9.83422305389098,8.01841194194113e-23,2.9646850847377e-20,"ENSG00000172986"
816.77108803572,-1.21367555029018,0.125345764900864,-9.68262111807348,3.57432513887105e-22,1.29512097081854e-19,"ENSG00000164484"
14120.6017793181,0.92174077104195,0.0961997261314105,9.58153217383214,9.56158041251235e-22,3.39661083006836e-19,"ENSG00000197043"
2383.81215514267,0.865662768642582,0.0907896759369892,9.53481505147544,1.50152971532886e-21,5.23138727934863e-19,"ENSG00000132356"
740.386575174218,-2.11963367585008,0.222607966047616,-9.521823111203,1.70167107653366e-21,5.81682545161516e-19,"ENSG00000131389"
166.337514057236,1.56828711407999,0.165541828647244,9.47366068682181,2.70204613576115e-21,9.06536478547867e-19,"ENSG00000161647"
2420.84302661477,1.21029360705092,0.127891934029907,9.46340843330978,2.98065475700703e-21,9.81827676958115e-19,"ENSG00000181061"
56.3169443232022,6.30020470554478,0.66819157665113,9.42874008846445,4.15044222775956e-21,1.34274217572e-18,"ENSG00000250978"
2205.66158772553,3.33852924396483,0.355628688117271,9.38768259006126,6.13348477822576e-21,1.94947971451081e-18,"ENSG00000157514"
1322.7851587631,1.10254782212751,0.117973047219774,9.34576030806047,9.12316168112403e-21,2.84972965822283e-18,"ENSG00000132970"
995.235824001559,1.59109697393388,0.170819871013094,9.3144724000635,1.22560135251204e-20,3.76342706838317e-18,"ENSG00000110756"
1281.43056650149,-2.35749800261892,0.253248847833776,-9.30901768274304,1.290200402297e-20,3.89576011473579e-18,"ENSG00000124766"
1963.51000018852,1.49925073959577,0.161244764816679,9.29798087584603,1.43137974939418e-20,4.25119785570072e-18,"ENSG00000221869"
136.917843826834,-1.96767929494055,0.21175462573369,-9.29226121093182,1.51044706052348e-20,4.41367248314578e-18,"ENSG00000134253"
1314.15497476784,1.58699009590335,0.171035748930742,9.27870404768989,1.71552380643952e-20,4.93335631766109e-18,"ENSG00000163110"
2970.37995482678,0.893726875342343,0.0975210534980578,9.16445058051123,4.98000039800459e-20,1.40972917516639e-17,"ENSG00000157110"
2782.45068559602,-0.979257981624822,0.106916677013223,-9.15907610469144,5.23435200740091e-20,1.45893469720127e-17,"ENSG00000157613"
4615.6054759973,-1.14516452665969,0.125504684129686,-9.12447638588833,7.20838657919935e-20,1.97870211599022e-17,"ENSG00000227051"
4908.68160737216,1.19329647064316,0.131346148359859,9.08512724235962,1.03577458085549e-19,2.80076538527746e-17,"ENSG00000196975"
627.441142526388,2.14977808933639,0.237348816212997,9.0574628668347,1.33519978037195e-19,3.55732565014686e-17,"ENSG00000169738"
2754.88935249187,-1.80341476902789,0.199338745840851,-9.04698562951581,1.46969366292057e-19,3.84692888905537e-17,"ENSG00000112837"
1460.14487800899,1.60418907170808,0.177341676988816,9.04575336687073,1.48636651892629e-19,3.84692888905537e-17,"ENSG00000151726"
669.378696573456,-1.99490009888228,0.221562792246924,-9.00376854187246,2.18099667827083e-19,5.56522772115952e-17,"ENSG00000146592"
3009.21914845443,1.98774024801875,0.220817852200669,9.00171896524195,2.22210765376089e-19,5.59137838377583e-17,"ENSG00000157214"
30314.4640976904,2.29535019211821,0.255296016722546,8.99093617513343,2.45133381120537e-19,6.08367324076817e-17,"ENSG00000154734"
3885.57811309562,2.3257766353377,0.259397647085247,8.96606681468228,3.07291600976435e-19,7.52324585795956e-17,"ENSG00000185432"
3234.76977561774,1.14158667880011,0.127499112108004,8.95368336238351,3.43814050101534e-19,8.30517219425264e-17,"ENSG00000174306"
944.871496271231,0.830120407174832,0.0930676716789293,8.91953556159258,4.68247704405211e-19,1.11621627114595e-16,"ENSG00000113456"
47.3523753582598,3.88516423534476,0.435665720672401,8.91776435692129,4.75795472933121e-19,1.11947877702979e-16,"ENSG00000173838"
115.08270132586,2.46980128511305,0.277330339894798,8.90562960421115,5.30838948172863e-19,1.23297554154458e-16,"ENSG00000177283"
46.8058859210444,-4.12409313510769,0.464202570499835,-8.88425311963918,6.43516225531162e-19,1.47577005796811e-16,"ENSG00000146006"
316.401649654838,1.30479780749907,0.147094458353721,8.87047562567858,7.28341446589346e-19,1.6494202484824e-16,"ENSG00000128311"
67.2411112273125,9.6097487867984,1.08920976157381,8.82267963969875,1.11752717378448e-18,2.49953577869794e-16,"ENSG00000179593"
865.181599373799,-1.21090854262877,0.137532122897336,-8.80455065419647,1.31377852406354e-18,2.90264945371453e-16,"ENSG00000103485"
655.43567671765,1.95881182202042,0.223959916473726,8.74626072764329,2.20539201293088e-18,4.80140164090715e-16,"ENSG00000137672"
2162.48694154274,2.06346934999816,0.235954471279154,8.74520130435207,2.22618390371585e-18,4.80140164090715e-16,"ENSG00000246430"
5165.36505494913,1.27172310112853,0.146345989656027,8.68983908693087,3.62953204011378e-18,7.73602729067544e-16,"ENSG00000118689"
806.875495723023,0.686017874265621,0.0791670925728209,8.66544231916304,4.49763371073207e-18,9.47484069038754e-16,"ENSG00000131871"
516.785117742953,-1.1908282983811,0.137675177182123,-8.64954977908483,5.17030000269103e-18,1.07667040400866e-15,"ENSG00000112773"
884.720468172738,-1.75522988199727,0.203173224008921,-8.63908071823581,5.66671300034324e-18,1.16663453894566e-15,"ENSG00000106976"
2129.36776084041,1.08848976214213,0.126583405233167,8.59899257834883,8.04188867298854e-18,1.6370213156015e-15,"ENSG00000072958"
554.179471681889,2.17592806810673,0.253294465171258,8.59050775797858,8.65858233085255e-18,1.74297262320062e-15,"ENSG00000169715"
678.850193269614,2.2886640232634,0.267417961988834,8.55837807693325,1.14466447259781e-17,2.27888859890709e-15,"ENSG00000150907"
1492.0729541885,-1.67065514922904,0.195618590674937,-8.54037003060307,1.33792698893214e-17,2.63469818026996e-15,"ENSG00000143320"
1415.64590289368,1.03529585675181,0.12205759530753,8.48202730967562,2.21303604695475e-17,4.311136995987e-15,"ENSG00000128923"
1878.34708782921,-0.758267231143022,0.0896879276277233,-8.45450721406384,2.80268468715595e-17,5.40172749757493e-15,"ENSG00000067369"
87.32117983083,-2.45368333592486,0.292070579087334,-8.40099452533752,4.42713043382235e-17,8.44277074416417e-15,"ENSG00000100784"
13216.3641111148,1.45498157024845,0.173482840891279,8.38689038508588,4.99170038194397e-17,9.42027456454989e-15,"ENSG00000163513"
2581.22350080541,0.88788901679055,0.106237738303554,8.35756700931994,6.40249403182547e-17,1.19581427190291e-14,"ENSG00000162704"
37.3821886049677,3.17276194047849,0.38025266612215,8.34382562740348,7.19250221473132e-17,1.32965880228865e-14,"ENSG00000187193"
5510.87941896198,2.22405701486478,0.267674998560153,8.30879621491802,9.66777843713281e-17,1.7692034539953e-14,"ENSG00000134243"
907.638119859366,1.05842819999908,0.127926294158431,8.27373455130547,1.29827029392329e-16,2.35207629150083e-14,"ENSG00000087448"
1996.33085602387,2.36462223312607,0.285988557687651,8.26824070251317,1.35950204174059e-16,2.43862361289251e-14,"ENSG00000167549"
168.59237920096,1.29516600734406,0.156802187598341,8.25987205396464,1.45828696508104e-16,2.59017499474247e-14,"ENSG00000162426"
2272.36550671187,0.74790370822896,0.0907533634409678,8.24105774014037,1.70694823080381e-16,2.97353664398775e-14,"ENSG00000051108"
42.9009727959361,4.18690637365416,0.50802857252441,8.2414781374388,1.70096017406231e-16,2.97353664398775e-14,"ENSG00000101342"
780.745153620749,1.42508744224495,0.173498247373802,8.21384344692885,2.14218836844e-16,3.69619301628833e-14,"ENSG00000103064"
368.146132770546,1.45587437492199,0.178249746592662,8.1676097876816,3.14559439875705e-16,5.3762956341775e-14,"ENSG00000099860"
3104.91722013013,1.20709413509801,0.147858125035232,8.16386745611969,3.24464924216091e-16,5.49376731964759e-14,"ENSG00000020577"
2018.10428453866,-1.24345561969666,0.152663395508112,-8.14508032890298,3.79030201310067e-16,6.35823162697637e-14,"ENSG00000145685"
1040.15294409695,1.96741660138032,0.24158844967832,8.14366996435458,3.83473581577696e-16,6.37375309857167e-14,"ENSG00000253368"
49.9463970903643,3.55927275018266,0.437124460725623,8.14246986836264,3.87294904498414e-16,6.37874707708887e-14,"ENSG00000157152"
84.5726467187803,-1.65519807809923,0.203406552634581,-8.13738818470014,4.03896115021186e-16,6.59223956381876e-14,"ENSG00000105516"
2078.33719618144,0.920570003034852,0.113199353656469,8.13229027639631,4.2125459736779e-16,6.81416923260023e-14,"ENSG00000019995"
2793.30295792075,-0.874872141818305,0.107704445875435,-8.12289719989954,4.55184852119608e-16,7.29786191668224e-14,"ENSG00000173068"
1383.55456569304,0.921529922276477,0.113641757467712,8.10907841282114,5.10051251959489e-16,8.10578818574566e-14,"ENSG00000120690"
33936.8737248997,0.804098942338799,0.0992602513193559,8.10091584144518,5.45469764994028e-16,8.59328324556244e-14,"ENSG00000135862"
77.6304027903742,3.47434428129594,0.429910691927519,8.08154890430522,6.39492726964503e-16,9.98766356415164e-14,"ENSG00000233117"
228.71176696916,-1.5392296468681,0.191509217676979,-8.03736585392115,9.17902988677861e-16,1.42133747400657e-13,"ENSG00000127824"
158.257247741708,-2.36511876024268,0.297249876905636,-7.95666859432712,1.76733259170124e-15,2.7134546240552e-13,"ENSG00000108830"
55.3623172165847,4.96092423812924,0.624651243298562,7.94191045219466,1.99090656630472e-15,3.03102976989434e-13,"ENSG00000100033"
3013.16399105008,0.692392823684529,0.0872246223115765,7.93804324209305,2.0539573744548e-15,3.10096214608314e-13,"ENSG00000183722"
4097.99179127292,1.32117291046493,0.166939050407423,7.91410342421703,2.49041213420624e-15,3.72882616821606e-13,"ENSG00000130066"
944.838820080611,-0.994314806387037,0.125847321186177,-7.90096123632273,2.76760721592631e-15,4.10989671565057e-13,"ENSG00000198795"
799.543792395955,-2.4093985166609,0.305252034284337,-7.89314483131859,2.94665320042499e-15,4.34020455545524e-13,"ENSG00000138316"
3865.16629631691,1.18613541643818,0.150381453518719,7.88751131661681,3.08272205149699e-15,4.50400608120734e-13,"ENSG00000115419"
2736.94863782112,0.892324121918733,0.113171900095608,7.88467915767864,3.15344681297637e-15,4.57047967285543e-13,"ENSG00000077254"
313.67996279182,-2.73129495293921,0.346770308285419,-7.87638066950974,3.37000469222171e-15,4.84558531817307e-13,"ENSG00000146250"
244.49171329748,-2.83695298729762,0.360395672435745,-7.87177317675317,3.49649670200102e-15,4.98787643701988e-13,"ENSG00000013293"
1049.24643670012,0.635326768866295,0.0808574624285737,7.85736714687921,3.92291727660158e-15,5.55246033595241e-13,"ENSG00000136877"
1778.54610614719,0.826718935867893,0.105344884555628,7.84773688210118,4.23611778769127e-15,5.94928263252735e-13,"ENSG00000104756"
487.987807618218,1.69727413250477,0.216742450159316,7.83083392873518,4.8464449472599e-15,6.75408023919289e-13,"ENSG00000157510"
5029.79358901987,1.95746585991441,0.250153152089534,7.82506973653407,5.07375582008598e-15,6.963729863068e-13,"ENSG00000119139"
2027.15230050182,1.96186009870545,0.250701286619459,7.82548875261007,5.05688404921099e-15,6.963729863068e-13,"ENSG00000149218"
111.7555142355,1.5412371269986,0.198254616866308,7.77402892986809,7.60283637534321e-15,1.0356435083616e-12,"ENSG00000135362"
528.376256986116,-1.11204218126987,0.143219507927931,-7.76459993026552,8.19033363518079e-15,1.107345331855e-12,"ENSG00000143891"
